Temperature (K),g-r,r-i,g-i
2000,2.792538872805366,1.6946511284691574,4.487190001274524
2100,2.6438429668451686,1.5977616310054614,4.24160459785063
2200,2.507328426642868,1.5091119377499496,4.0164403643928175
2300,2.381483377121297,1.4276916125402668,3.809174989661564
2400,2.2650478037262527,1.3526518658104543,3.617699669536707
2500,2.156961902245204,1.283274074933841,3.4402359771790447
2600,2.0563267451120666,1.218945452734303,3.2752721978463697
2700,1.9623739759530512,1.159140021002301,3.1215139969553523
2800,1.874442202340763,1.1034035752643492,2.977845777605112
2900,1.7919584152029842,1.0513416898547039,2.843300105057688
3000,1.714423221667448,1.0026100651420968,2.717033286809545
3100,1.64139900098197,0.9569066976692282,2.598305698651198
3200,1.5725003231492813,0.9139654824020216,2.486465805551303
3300,1.507386135524733,0.8735509497302623,2.3809370852549954
3400,1.4457533430930418,0.835453908689443,2.281207251782485
3500,1.3873314966336094,0.7994878191517722,2.1868193157853817
3600,1.3318783686045688,0.7654857543425617,2.0973641229471305
3700,1.2791762456791398,0.7332978443914833,2.012474090070623
3800,1.2290288039345185,0.7027891141471394,1.931817918081658
3900,1.181258460911205,0.673837645903145,1.8550961068143499
4000,1.135704120417378,0.6463330112635002,1.782037131680878
4100,1.092219242704461,0.6201749270364547,1.7123941697409157
4200,1.0506701856955938,0.5952720984719124,1.6459422841675062
4300,1.0109347731970284,0.5715412198576457,1.5824759930546741
4400,0.9729010541232301,0.5489061078480244,1.5218071619712545
4500,0.9364662232118377,0.5272969472075419,1.4637631704193796
4600,0.9015356788654603,0.5066496321332079,1.4081853109986682
4700,0.8680221979143505,0.48690518914702885,1.3549273870613794
4800,0.8358452104616605,0.4680092698556164,1.303854480317277
4900,0.8049301607160748,0.44991170376281664,1.2548418644788915
5000,0.775207941962345,0.4325661028746479,1.207774044836993
5100,0.7466143956679594,0.4159295111185304,1.1625439067864898
5200,0.7190898662512901,0.399962092661831,1.1190519589131211
5300,0.692578804304401,0.3846268540989537,1.0772056584033547
5400,0.6670294121205926,0.3698893962142824,1.036918808334875
5500,0.6423933262612938,0.3557176916463938,0.9981110179076875
5600,0.618625332640053,0.3420818852983738,0.9607072179384268
5700,0.5956831102278559,0.32895411477691416,0.9246372250047701
5800,0.5735270000140278,0.31630834851307466,0.8898353485271024
5900,0.5521197963067732,0.30412023953165734,0.8562400358384306
6000,0.531426557840373,0.292366993103224,0.823793550943597
6100,0.5114144364830548,0.2810272467407251,0.79244168322378
6200,0.4920525216195242,0.27008096119768044,0.7621334828172046
6300,0.4733116985226027,0.2595093212921258,0.7328210198147285
6400,0.4551645192353455,0.24929464552448266,0.7044591647598282
6500,0.43758508466369017,0.23942030358158162,0.6770053882452718
6600,0.42054893673419835,0.22987064092646148,0.6504195776606598
6700,0.4040329596054859,0.22063090976660016,0.6246638693720861
6800,0.38801528903845295,0.21168720577408884,0.5997024948125418
6900,0.37247522913187514,0.20302641000175292,0.5755016391336281
7000,0.3573931757185318,0.19463613550073133,0.5520293112192631
7100,0.3427505457945499,0.18650467819885153,0.5292552239934014
7200,0.32852971242257056,0.17862097164640156,0.5071506840689721
7300,0.3147139446090428,0.1709745452773963,0.4856884898864391
7400,0.3012873517084549,0.16355548587101243,0.4648428375794673
7500,0.28823483195362254,0.15635440193016137,0.4445892338837839
7600,0.2755420247520708,0.14936239072271595,0.42490441547478675
7700,0.263195266424739,0.14257100775620268,0.4057662741809417
7800,0.2511815490953364,0.13597223847927276,0.38715378757460917
7900,0.2394884824671717,0.12955847202319604,0.36904695449036773
8000,0.22810425824964686,0.1233224768144836,0.35142673506413047
8100,0.21701761701918187,0.11725737790559698,0.33427499492477886
8200,0.20621781731951505,0.11135663588493261,0.31757445320444766
8300,0.19569460682433715,0.10561402723999047,0.3013086340643276
8400,0.18543819540135875,0.10002362605905091,0.28546182146040966
8500,0.17543922993138583,0.0945797869669237,0.27001901689830954
8600,0.1656887707489686,0.08927712919957564,0.25496589994854424
8700,0.1561782695828715,0.08411052173073486,0.24028879131360636
8800,0.1468995488851499,0.07907506937106545,0.22597461825621534
8900,0.1378447824470953,0.07416609976729344,0.21201088221438874
9000,0.129006477208909,0.06937915123475674,0.19838562844366575
9100,0.12037745617767814,0.0647099613624319,0.18508741754011004
9200,0.11195084237529823,0.060154456334489737,0.17210529870978797
9300,0.10372004374431043,0.05570874091701222,0.15942878466132265
9400,0.09567873894541629,0.051369089062648976,0.14704782800806526
9500,0.08782086398569988,0.047131935089753496,0.13495279907545338
9600,0.08014059962133291,0.042993865395996644,0.12313446501732955
9700,0.0726323594829355,0.03895161066957192,0.11158397015250743
9800,0.06529077887569651,0.03500203856397305,0.10029281743966956
9900,0.05811070421002279,0.03114214680493957,0.08925285101496236
10000,0.05108718302176629,0.027369056700554756,0.07845623972232105
10100,0.04421545454415038,0.02368000702766221,0.06789546157181259
10200,0.03749094079626175,0.020072348269783075,0.057563289066044826
10300,0.030909238155543445,0.016543537183533907,0.04745277533907735
10400,0.0244661093840694,0.013091131672257755,0.037557241056327156
10500,0.018157476080501653,0.00971278594710033,0.027870262027601983
10600,0.011979411531653425,0.006406245957212599,0.018385657488866024
10700,0.005928133939349725,0.0031693450720574855,0.00909747901140721
10800,0.0,0.0,0.0
10900,-0.005808501184183787,-0.0031037930715079945,-0.008912294255691781
11000,-0.011500753881958883,-0.006143962127843065,-0.01764471600980195
11100,-0.017080021216121594,-0.009122362783941837,-0.02620238400006343
11200,-0.022549450369974633,-0.01204078155772223,-0.03459023192769686
11300,-0.02791207753316252,-0.014900938971237107,-0.04281301650439963
11400,-0.033170832601791655,-0.01770449248987209,-0.050875325091663745
11500,-0.03832854364680616,-0.020453039309204724,-0.05878158295601088
11600,-0.04338794116366962,-0.023148118998498057,-0.06653606016216768
11700,-0.048351662115586225,-0.02579121600922163,-0.07414287812480785
11800,-0.05322225378172235,-0.02838376205642762,-0.08160601583814997
11900,-0.058002177421158374,-0.030927138380318436,-0.08892931580147681
12000,-0.0626938117626567,-0.033422677894856645,-0.09611648965751335
12100,-0.06729945632967804,-0.03587166722983276,-0.1031711235595108
12200,-0.0718213346095396,-0.038275348672401066,-0.11009668328194067
12300,-0.07626159707503177,-0.0406349220137156,-0.11689651908874737
12400,-0.0806223240663354,-0.042951546305939114,-0.12357387037227452
12500,-0.08490552854060157,-0.045226341534574444,-0.13013187007517601
12600,-0.08911315869612024,-0.04746039021076426,-0.1365735489068845
12700,-0.09324710047759566,-0.049654738887913885,-0.14290183936550954
12800,-0.09730917996867039,-0.05181039960673334,-0.14911957957540373
12900,-0.10130116567747571,-0.05392835127253892,-0.15522951695001463
13000,-0.10522477072065828,-0.05600954096843569,-0.16123431168909397
13100,-0.1090816549110174,-0.05805488520777019,-0.1671365401187876
13200,-0.11287342675360623,-0.06006527112905968,-0.17293869788266591
13300,-0.11660164535485185,-0.06204155763639896,-0.1786432029912508
13400,-0.12026782224902577,-0.06398457648817968,-0.18425239873720545
13500,-0.12387342314612759,-0.06589513333679253,-0.18976855648292013
13600,-0.12741986960503782,-0.06777400872182349,-0.1951938783268613
13700,-0.13090854063557233,-0.06962195901911283,-0.20053049965468517
13800,-0.13434077423288104,-0.07143971734791488,-0.20578049158079592
13900,-0.13771786884744264,-0.07322799443825867,-0.2109458632857013
14000,-0.14104108479372657,-0.07498747946051532,-0.21602856425424188
14100,-0.14431164560044396,-0.07671884081902458,-0.22103048641946854
14200,-0.14753073930513905,-0.07842272691157759,-0.22595346621671664
14300,-0.1506995196957278,-0.0800997668564205,-0.23079928655214832
14400,-0.15381910750147276,-0.08175057118835849,-0.23556967868983125
14500,-0.15689059153571638,-0.08337573252546848,-0.24026632406118487
14600,-0.15991502979261596,-0.08497582620782707,-0.24489085600044302
14700,-0.16289345049997805,-0.08655141090959528,-0.24944486140957334
